Ano,RA,Nome,Fase,Fase_Num,Fase_Ideal,Turma,Idade,Gênero,Ano ingresso,Instituicao_Ensino,Pedra_Atual,INDE,IAA,IEG,IPS,IPP,IDA,Matematica,Portugues,Ingles,IPV,IAN,Defasagem,Pendente_Inclusao
2024,RA-98,Aluno-98,7E,7.0,Fase 6 (2° EM),7E,16,Feminino,2021,Privada *Parcerias com Bolsa 100%,Topázio,8.617450000000002,9.585,9.546,7.1975,7.5,8.9,9.2,8.9,8.6,7.5,10.0,1,False
2024,RA-277,Aluno-277,7E,7.0,Fase 5 (1° EM),7E,16,Masculino,2021,Privada *Parcerias com Bolsa 100%,Topázio,8.0689833334,8.334,9.741666667,6.5725,7.5,6.8999999999999995,6.5,8.15,6.05,7.5,10.0,2,False
2024,RA-172,Aluno-172,7E,7.0,Fase 6 (2° EM),7E,16,Feminino,2021,Privada - Programa de Apadrinhamento,Topázio,8.128766666666667,8.751,9.8,6.57,7.5,6.933333333333334,6.7,7.7,6.4,7.5,10.0,1,False
2024,RA-291,Aluno-291,7E,7.0,Fase 5 (1° EM),7E,15,Masculino,2022,Privada - Programa de Apadrinhamento,Ametista,7.9319666667333335,8.751,9.737666667,6.26,7.5,6.166666666666667,6.0,6.5,6.0,7.5,10.0,2,False
2024,RA-86,Aluno-86,7E,7.0,Fase 7 (3° EM),7E,18,Masculino,2021,Privada *Parcerias com Bolsa 100%,Ametista,7.611233333266666,6.667,9.704333333,6.57,7.5,5.483333333333333,6.35,6.3,3.8,7.5,10.0,0,False
2024,RA-143,Aluno-143,7E,7.0,Fase 5 (1° EM),7E,15,Masculino,2021,Privada - Programa de Apadrinhamento,Ametista,7.449366666666667,10.002,9.92,6.885,7.5,2.6333333333333333,0.0,0.0,7.9,7.5,10.0,2,False
2024,RA-166,Aluno-166,7E,7.0,Fase 6 (2° EM),7E,16,Masculino,2021,Privada *Parcerias com Bolsa 100%,Topázio,8.243183333333334,8.334,9.246,6.5725,7.5,8.266666666666667,8.2,7.8,8.8,7.5,10.0,1,False
2024,RA-191,Aluno-191,7E,7.0,Fase 5 (1° EM),7E,15,Masculino,2021,Privada *Parcerias com Bolsa 100%,Ametista,7.7887,7.5,9.571,5.945,7.5,6.3999999999999995,6.0,6.9,6.3,7.5,10.0,2,False
2024,RA-1236,Aluno-1236,8A,8.0,Fase 8 (Universitários),8A,22,Feminino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1234,Aluno-1234,8A,8.0,Fase 8 (Universitários),8A,21,Feminino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
